color,director_name,duration,gross_million_USD,genres,movie_title,title_year,language,country,budget_million_USD,imdb_score,actors,movie_facebook_likes_scaled,imdb_score_norm,duration_hours,duration_hours_norm,imdb_score-binned,movie_facebook_likes_scaled-binned
Color,Christopher Nolan,169.0,187.991439,Adventure|Drama|Sci-Fi,Interstellar,2014,English,USA,165.0,8,"Matthew McConaughey,Anne Hathaway,Mackenzie Foy",349,0.9772727272727272,2.816666666666667,0.7041666666666667,High,High
Color,F. Gary Gray,167.0,161.02927,Biography|Crime|Drama|History|Music,Straight Outta Compton,2015,English,USA,28.0,7,"Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor",76,0.8977272727272727,2.783333333333333,0.6958333333333333,High,Low
Color,Richard Linklater,165.0,25.3592,Drama,Boyhood,2014,English,USA,4.0,8,"Ellar Coltrane,Lorelei Linklater,Libby Villari",92,0.9090909090909091,2.75,0.6875,High,Low
Color,Quentin Tarantino,144.0,162.804648,Drama|Western,Django Unchained,2012,English,USA,100.0,8,"Leonardo DiCaprio,Christoph Waltz,Ato Essandoh",199,0.9659090909090908,2.4,0.6,High,Medium
Color,Michael Bay,165.0,245.428137,Action|Adventure|Sci-Fi,Transformers: Age of Extinction,2014,English,USA,210.0,5,"Bingbing Li,Sophia Myles,Kelsey Grammer",56,0.6477272727272727,2.75,0.6875,Low,Low
Color,Christopher Nolan,164.0,448.130642,Action|Thriller,The Dark Knight Rises,2012,English,USA,250.0,8,"Tom Hardy,Christian Bale,Joseph Gordon-Levitt",164,0.9659090909090908,2.7333333333333334,0.6833333333333333,High,Medium
Color,Peter Jackson,164.0,255.10837,Adventure|Fantasy,The Hobbit: The Battle of the Five Armies,2014,English,New Zealand,250.0,7,"Aidan Turner,Adam Brown,James Nesbitt",65,0.8522727272727272,2.7333333333333334,0.6833333333333333,High,Low
Color,Tom Hooper,158.0,148.77546,Drama|Musical|Romance,Les MisÃ©rables,2012,English,USA,61.0,7,"Hugh Jackman,Eddie Redmayne,Anne Hathaway",144,0.8636363636363635,2.6333333333333333,0.6583333333333333,High,Medium
Color,Tom Hooper,158.0,148.77546,Drama|Musical|Romance,Les MisÃ©rables,2012,English,USA,61.0,7,"Hugh Jackman,Eddie Redmayne,Anne Hathaway",144,0.8636363636363635,2.6333333333333333,0.6583333333333333,High,Medium
Color,Kathryn Bigelow,157.0,95.720716,Drama|History|Thriller,Zero Dark Thirty,2012,English,USA,40.0,7,"Jennifer Ehle,Harold Perrineau,Parker Sawyers",39,0.8409090909090908,2.6166666666666667,0.6541666666666667,High,Low
Color,Ridley Scott,156.0,105.219735,Action|Adventure|Drama|History,Robin Hood,2010,English,USA,200.0,6,"Mark Addy,William Hurt,Scott Grimes",17,0.7613636363636364,2.6,0.65,Medium,Low
Color,Unknown,156.0,183.635922,Adventure|Drama|Thriller|Western,The Revenant,2015,English,USA,135.0,8,"Leonardo DiCaprio,Tom Hardy,Lukas Haas",190,0.9204545454545453,2.6,0.65,High,Medium
Color,Michael Bay,154.0,352.358779,Action|Adventure|Sci-Fi,Transformers: Dark of the Moon,2011,English,USA,195.0,6,"Glenn Morshower,Lester Speight,Kevin Dunn",46,0.7159090909090908,2.566666666666667,0.6416666666666667,Medium,Low
Color,Denis Villeneuve,153.0,60.962878,Crime|Drama|Mystery|Thriller,Prisoners,2013,English,USA,46.0,8,"Hugh Jackman,Jake Gyllenhaal,Dylan Minnette",86,0.9204545454545453,2.55,0.6375,High,Low
Color,Marc Webb,153.0,262.030663,Action|Adventure|Fantasy,The Amazing Spider-Man,2012,English,USA,230.0,7,"Emma Stone,Andrew Garfield,Chris Zylka",56,0.7954545454545454,2.55,0.6375,High,Low
Color,Unknown,151.0,228.430993,Adventure|Drama|Sci-Fi,The Martian,2015,English,USA,108.0,8,"Matt Damon,Donald Glover,Benedict Wong",153,0.9204545454545453,2.5166666666666666,0.6291666666666667,High,Medium
Color,Ridley Scott,150.0,65.007045,Action|Adventure|Drama,Exodus: Gods and Kings,2014,English,UK,140.0,6,"Christian Bale,MarÃ­a Valverde,Ben Mendelsohn",51,0.6931818181818181,2.5,0.625,Medium,Low
Color,Ridley Scott,150.0,65.007045,Action|Adventure|Drama,Exodus: Gods and Kings,2014,English,UK,140.0,6,"Christian Bale,MarÃ­a Valverde,Ben Mendelsohn",51,0.6931818181818181,2.5,0.625,Medium,Low
Color,Unknown,150.0,182.20444,Biography|Drama|History|War,Lincoln,2012,English,USA,65.0,7,"Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill",71,0.8409090909090908,2.5,0.625,High,Low
Color,Gore Verbinski,144.0,89.28991,Action|Adventure|Western,The Lone Ranger,2013,English,USA,215.0,6,"Johnny Depp,Ruth Wilson,Tom Wilkinson",48,0.7386363636363635,2.4,0.6,Medium,Low
Color,David Fincher,149.0,167.735396,Crime|Drama|Mystery|Thriller,Gone Girl,2014,English,USA,61.0,8,"Patrick Fugit,Sela Ward,Emily Ratajkowski",146,0.9204545454545453,2.4833333333333334,0.6208333333333333,High,Medium
Color,Bryan Singer,149.0,233.914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: Days of Future Past,2014,English,United States,200.0,8,"Jennifer Lawrence,Peter Dinklage,Hugh Jackman",82,0.9090909090909091,2.4833333333333334,0.6208333333333333,High,Low
Color,Christopher Nolan,148.0,292.568851,Action|Adventure|Sci-Fi|Thriller,Inception,2010,English,USA,160.0,8,"Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt",175,1.0,2.466666666666667,0.6166666666666667,High,Medium
Color,Paul Thomas Anderson,148.0,8.093318,Comedy|Crime|Drama|Mystery|Romance,Inherent Vice,2014,English,USA,20.0,6,"Martin Dew,Katherine Waterston,Serena Scott Thomas",18,0.7613636363636364,2.466666666666667,0.6166666666666667,Medium,Low
Color,Sam Mendes,148.0,200.074175,Action|Adventure|Thriller,Spectre,2015,English,UK,245.0,6,"Christoph Waltz,Rory Kinnear,Stephanie Sigman",85,0.7727272727272726,2.466666666666667,0.6166666666666667,Medium,Low
Color,Joss Whedon,147.0,407.197282,Action|Adventure|Sci-Fi,Captain America: Civil War,2016,English,USA,250.0,8,"Robert Downey Jr.,Scarlett Johansson,Chris Evans",72,0.9318181818181817,2.45,0.6125,High,Low
Color,Michael Patrick King,146.0,95.328937,Comedy|Drama|Romance,Sex and the City 2,2010,English,USA,100.0,4,"Chris Noth,Liza Minnelli,Kristin Davis",0,0.4886363636363636,2.433333333333333,0.6083333333333333,Low,Low
Color,Tate Taylor,146.0,169.705587,Drama,The Help,2011,English,USA,25.0,8,"Emma Stone,Bryce Dallas Howard,Mike Vogel",75,0.9204545454545453,2.433333333333333,0.6083333333333333,High,Low
Color,Francis Lawrence,146.0,424.645577,Adventure|Sci-Fi|Thriller,The Hunger Games: Catching Fire,2013,English,USA,130.0,7,"Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty",82,0.8636363636363635,2.433333333333333,0.6083333333333333,High,Low
 Black And White,Steven Spielberg,146.0,79.883359,Drama|War,War Horse,2011,English,USA,66.0,7,"Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan",28,0.8181818181818181,2.433333333333333,0.6083333333333333,High,Low
Color,Michael Bay,144.0,52.822418,Action|Drama|Thriller|War,13 Hours,2016,English,USA,50.0,7,"Toby Stephens,James Badge Dale,David Costabile",44,0.8409090909090908,2.4,0.6,High,Low
Color,Guillaume Canet,144.0,0.041229,Crime|Drama|Thriller,Blood Ties,2013,English,France,25.5,6,"Mila Kunis,Lili Taylor,Billy Crudup",0,0.7386363636363635,2.4,0.6,Medium,Low
Color,Paul Thomas Anderson,144.0,16.377274,Drama,The Master,2012,English,USA,32.0,7,"Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild",27,0.8068181818181818,2.4,0.6,High,Low
Color,Bryan Singer,144.0,154.985087,Action|Adventure|Sci-Fi,X-Men: Apocalypse,2016,English,USA,178.0,7,"Jennifer Lawrence,Michael Fassbender,Tye Sheridan",54,0.8295454545454545,2.4,0.6,High,Low
Color,Adam McKay,143.0,2.175312,Comedy,Anchorman 2: The Legend Continues,2013,English,USA,50.0,6,"Harrison Ford,Will Ferrell,Steve Carell",41,0.7159090909090908,2.3833333333333333,0.5958333333333333,Medium,Low
Color,Zack Snyder,143.0,291.021565,Action|Adventure|Fantasy|Sci-Fi,Man of Steel,2013,English,USA,225.0,7,"Henry Cavill,Christopher Meloni,Harry Lennix",118,0.8181818181818181,2.3833333333333333,0.5958333333333333,High,Medium
Color,Sam Mendes,143.0,304.360277,Action|Adventure|Thriller,Skyfall,2012,English,UK,200.0,7,"Albert Finney,Helen McCrory,Rory Kinnear",80,0.8863636363636362,2.3833333333333333,0.5958333333333333,High,Low
Color,Sam Mendes,143.0,304.360277,Action|Adventure|Thriller,Skyfall,2012,English,UK,200.0,7,"Albert Finney,Helen McCrory,Rory Kinnear",80,0.8863636363636362,2.3833333333333333,0.5958333333333333,High,Low
Color,Baz Luhrmann,143.0,144.812796,Drama|Romance,The Great Gatsby,2013,English,Australia,105.0,7,"Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley",115,0.8295454545454545,2.3833333333333333,0.5958333333333333,High,Low
Color,Baz Luhrmann,143.0,144.812796,Drama|Romance,The Great Gatsby,2013,English,Australia,105.0,7,"Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley",115,0.8295454545454545,2.3833333333333333,0.5958333333333333,High,Low
Color,Steven Spielberg,142.0,72.306065,Drama|History|Thriller,Bridge of Spies,2015,English,USA,40.0,7,"Tom Hanks,Mark Rylance,Amy Ryan",55,0.8636363636363635,2.3666666666666667,0.5916666666666667,High,Low
Color,Marc Webb,142.0,202.853933,Action|Adventure|Fantasy|Sci-Fi,The Amazing Spider-Man 2,2014,English,USA,200.0,6,"Emma Stone,Andrew Garfield,B.J. Novak",41,0.7613636363636364,2.3666666666666667,0.5916666666666667,Medium,Low
Color,Unknown,142.0,407.999255,Adventure|Drama|Sci-Fi|Thriller,The Hunger Games,2012,English,USA,78.0,7,"Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds",140,0.8295454545454545,2.3666666666666667,0.5916666666666667,High,Medium
Color,Joss Whedon,141.0,458.991599,Action|Adventure|Sci-Fi,Avengers: Age of Ultron,2015,English,USA,250.0,7,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",118,0.8522727272727272,2.35,0.5875,High,Medium
Color,Justin Chadwick,141.0,8.324748,Biography|Drama|History,Mandela: Long Walk to Freedom,2013,English,UK,35.0,7,"Terry Pheto,Fana Mokoena,Tony Kgoroge",13,0.8068181818181818,2.35,0.5875,High,Low
Color,Oliver Stone,141.0,47.30755,Crime|Drama|Thriller,Savages,2012,English,USA,45.0,6,"DemiÃ¡n Bichir,Shea Whigham,Gary Stretch",28,0.7386363636363635,2.35,0.5875,Medium,Low
Color,David Dobkin,141.0,47.105085,Crime|Drama,The Judge,2014,English,USA,50.0,7,"Robert Downey Jr.,Robert Duvall,Leighton Meester",47,0.8409090909090908,2.35,0.5875,High,Low
Color,Ryan Murphy,140.0,80.57401,Drama|Romance,Eat Pray Love,2010,English,USA,60.0,5,"James Franco,Julia Roberts,Billy Crudup",26,0.6477272727272727,2.3333333333333335,0.5833333333333334,Low,Low
Color,James Wan,140.0,350.03411,Action|Crime|Thriller,Furious 7,2015,English,USA,190.0,7,"Jason Statham,Paul Walker,Vin Diesel",94,0.8181818181818181,2.3333333333333335,0.5833333333333334,High,Low
Color,Derek Cianfrance,140.0,21.383298,Crime|Drama|Thriller,The Place Beyond the Pines,2012,English,USA,15.0,7,"Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza",47,0.8295454545454545,2.3333333333333335,0.5833333333333334,High,Low
Color,Gavin O'Connor,140.0,13.651662,Drama|Sport,Warrior,2011,English,USA,25.0,8,"Tom Hardy,Frank Grillo,Kevin Dunn",77,0.9318181818181817,2.3333333333333335,0.5833333333333334,High,Low
Color,Unknown,139.0,150.832203,Adventure|Mystery|Sci-Fi,Divergent,2014,English,USA,85.0,6,"Kate Winslet,Theo James,Mekhi Phifer",49,0.7613636363636364,2.316666666666667,0.5791666666666667,Medium,Low
Color,Gary Ross,139.0,20.389967,Action|Biography|Drama|History|War,Free State of Jones,2016,English,USA,50.0,6,"Matthew McConaughey,Donald Watkins,Jessica Collins",10,0.7613636363636364,2.316666666666667,0.5791666666666667,Medium,Low
Color,Tate Taylor,139.0,30.51394,Biography|Drama|Music,Get on Up,2014,English,USA,30.0,6,"Tika Sumpter,Josh Hopkins,Aunjanue Ellis",11,0.7840909090909091,2.316666666666667,0.5791666666666667,Medium,Low
Color,Terrence Malick,139.0,13.303319,Drama|Fantasy,The Tree of Life,2011,English,USA,32.0,6,"Brad Pitt,Tye Sheridan,Fiona Shaw",39,0.7613636363636364,2.316666666666667,0.5791666666666667,Medium,Low
Color,David Dobkin,138.0,150.117807,Crime|Drama,American Hustle,2013,English,USA,40.0,7,"Jennifer Lawrence,Christian Bale,Bradley Cooper",63,0.8295454545454545,2.3,0.575,High,Low
Color,Robert Zemeckis,138.0,93.749203,Drama|Thriller,Flight,2012,English,USA,31.0,7,"Denzel Washington,Bruce Greenwood,Nadine Velazquez",64,0.8295454545454545,2.3,0.575,High,Low
Color,Darren Aronofsky,138.0,101.160529,Action|Adventure|Drama,Noah,2014,English,USA,125.0,5,"Anthony Hopkins,Emma Watson,Logan Lerman",71,0.6590909090909091,2.3,0.575,Low,Low
Color,Martin Scorsese,138.0,127.968405,Mystery|Thriller,Shutter Island,2010,English,USA,80.0,8,"Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto",53,0.9204545454545453,2.3,0.575,High,Low
Color,Ridley Scott,138.0,16.96939,Crime|Drama|Thriller,The Counselor,2013,English,USA,25.0,5,"Michael Fassbender,Brad Pitt,Goran Visnjic",24,0.6022727272727272,2.3,0.575,Low,Low
Color,James Mangold,138.0,132.55096,Action|Adventure|Sci-Fi|Thriller,The Wolverine,2013,English,USA,120.0,6,"Hugh Jackman,Tao Okamoto,Rila Fukushima",68,0.7613636363636364,2.3,0.575,Medium,Low
Color,Daniel Espinosa,137.0,1.206135,Crime|Drama|Thriller,Child 44,2012,English,Czech Republic,50.0,6,"Tom Hardy,Fares Fares,Michael Nardone",18,0.7272727272727273,2.283333333333333,0.5708333333333333,Medium,Low
Color,Unknown,137.0,37.30495,Biography|Crime|Drama,J. Edgar,2011,English,USA,35.0,6,"Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever",16,0.7499999999999999,2.283333333333333,0.5708333333333333,Medium,Low
Color,Walter Salles,137.0,0.717753,Adventure|Drama,On the Road,2012,English,France,25.0,6,"Kristen Stewart,Viggo Mortensen,Kirsten Dunst",27,0.6931818181818181,2.283333333333333,0.5708333333333333,Medium,Low
Color,Unknown,137.0,281.666058,Adventure|Sci-Fi,The Hunger Games: Mockingjay - Part 2,2015,English,USA,160.0,6,"Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson",38,0.7499999999999999,2.283333333333333,0.5708333333333333,Medium,Low
Color,Angelina Jolie Pitt,137.0,115.60398,Biography|Drama|Sport|War,Unbroken,2014,English,USA,65.0,7,"Finn Wittrock,Jack O'Connell,Alex Russell",35,0.8157001044932077,2.283333333333333,0.5708333333333333,High,Low
Color,Angelina Jolie Pitt,137.0,115.60398,Biography|Drama|Sport|War,Unbroken,2014,English,USA,65.0,7,"Finn Wittrock,Jack O'Connell,Alex Russell",35,0.8181818181818181,2.283333333333333,0.5708333333333333,High,Low
Color,Seth MacFarlane,136.0,42.615685,Comedy|Western,A Million Ways to Die in the West,2014,English,USA,40.0,6,"Liam Neeson,Charlize Theron,Seth MacFarlane",24,0.6931818181818181,2.2666666666666666,0.5666666666666667,Medium,Low
Color,Anthony Russo,136.0,259.746958,Action|Adventure|Sci-Fi,Captain America: The Winter Soldier,2014,English,USA,170.0,7,"Scarlett Johansson,Chris Evans,Hayley Atwell",55,0.8863636363636362,2.2666666666666666,0.5666666666666667,High,Low
Color,Rob Marshall,136.0,241.063875,Action|Adventure|Fantasy,Pirates of the Caribbean: On Stranger Tides,2011,English,USA,250.0,6,"Johnny Depp,Sam Claflin,Stephen Graham",58,0.7613636363636364,2.2666666666666666,0.5666666666666667,Medium,Low
Color,Adam Shankman,136.0,38.509342,Comedy|Drama|Musical|Romance,Rock of Ages,2012,English,USA,75.0,5,"James Martin Kelly,Shane Hartline,Celina Beach",33,0.6704545454545454,2.2666666666666666,0.5666666666666667,Low,Low
Color,Kenneth Lonergan,136.0,52.474616,Drama,Wall Street: Money Never Sleeps,2010,English,USA,70.0,6,"Frank Langella,Austin Pendleton,John Buffalo Mailer",13,0.7159090909090908,2.2666666666666666,0.5666666666666667,Medium,Low
Color,Tony Gilroy,135.0,113.165635,Action|Adventure|Thriller,The Bourne Legacy,2012,English,USA,125.0,6,"Jeremy Renner,Scott Glenn,Stacy Keach",31,0.7613636363636364,2.25,0.5625,Medium,Low
Color,Steve McQueen,134.0,56.66787,Biography|Drama|History,12 Years a Slave,2013,English,USA,20.0,8,"QuvenzhanÃ© Wallis,Scoot McNairy,Taran Killam",83,0.9204545454545453,2.2333333333333334,0.5583333333333333,High,Low
Color,Paul Greengrass,134.0,107.100855,Biography|Drama|Thriller,Captain Phillips,2013,English,USA,55.0,7,"Tom Hanks,Chris Mulkey,Michael Chernus",65,0.8977272727272727,2.2333333333333334,0.5583333333333333,High,Low
Color,David Ayer,134.0,85.707116,Action|Drama|War,Fury,2014,English,USA,68.0,7,"Brad Pitt,Logan Lerman,Jim Parrack",82,0.8636363636363635,2.2333333333333334,0.5583333333333333,High,Low
Color,Clint Eastwood,144.0,47.034272,Biography|Drama|Music|Musical,Jersey Boys,2014,English,USA,40.0,6,"Johnny Cannizzaro,Steve Schirripa,Scott Vance",16,0.7840909090909091,2.4,0.6,Medium,Low
